Available Data and Morphometry,,,,,,,,,,,,,,,,,,,,,,
SportFishRegion,ManagementArea,LakeName,Longitude_WGS84,Latitude_WGS84,Elevation (m),Temp (C),SurfaceArea_h,Volume_m3,MeanDepth_m,MaximumDepth_m,ShorelineLength_km,SpeciesPreviouslyStocked,NativeSpeciesPresent,BathymetricMap,Count of ForkLength_mm,Average of ForkLength_mm,Count of Weight_g,Average of Weight_g,Abundance,SWHS,"Include in ""Alaskanizing"" Modeling Exercise",Potentially Include in Lake Trout Management Plan
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Dickey Lake,-146.112240000,62.933480,877,-3.00,305.54,,,26,,,"lake trout, Arctic grayling, sockeye salmon, whitefish-unspecified",Yes,46,566,,,,Yes,Yes,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Dog Lake (near Lk Louise),-146.524592000,62.376345,733,-3.00,339.94,,,3.0,,,"lake trout, burbot, longnose sucker, whitefish-unspecified, least cisco, round whitefish",Yes,5,483,,,,Yes,No,No
Region III,Delta (Upper Tanana River Drainage),Donnelly Lake (Richardson Highway),-145.805757000,63.753503,734,-1.00,12.29,"448,135",3.65,12.0,2.72,"Arctic char, lake trout, Arctic grayling, Chinook salmon, coho salmon, rainbow trout",slimy sculpin,Yes,76,207,,,,Yes,No,No
Region III,Delta (Upper Tanana River Drainage),Ellis Lake,-142.962357000,62.269276,956,-5.00,101.17,,,29.0,,,"lake trout, Arctic grayling",No,67,308,16,325,,,Yes,No
Region III,North Slope Drainages,Elusive Lake,-148.496540000,68.653050,530,-9.00,372.31,,,169.2,,,"lake trout, Arctic grayling, least cisco, round whitefish",No,,,,,,Yes,No,No
Region III,North Slope Drainages,Ernie Lake,-146.204192000,62.543180,829,-3.00,5.22,,,4.9,,,longnose sucker,No,,,,,,Yes,No,No
Region III,Yukon River Drainage,Ernie Lake,,,,,,,,,,,,,,,,,,Yes,No,No
Region III,North Slope Drainages,Etivluk Lake,-156.075650000,68.124890,635,-8.00,348.03,,,13.7,,,"lake trout, Arctic grayling, slimy sculpin, round whitefish",No,,,,,,,No,No
Region III,Kuskokwim-Goodnews Drainages,Farewell Lake,-153.639240000,62.555090,318,-2.00,254.95,,,49.4,,,,No,,,,,,Yes,No,No
Region III,Northwest Drainages,Feniak Lake,-158.319420000,68.247830,436,-8.00,1729.38,,,37.3,,,"lake trout, Arctic grayling, round whitefish",Yes,26,565,18,1991,,Yes,Yes,No
Region III,Delta (Upper Tanana River Drainage),Fielding Lake,-145.686640000,63.171690,902,-4.00,561.96,"49,042,840",8.73,23.1,20.31,,"lake trout, burbot, Arctic grayling, longnose sucker, whitefish-unspecified",Yes,1293,575,625,2277,Yes,Yes,Yes,Yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Final Lake,-146.110113000,62.559133,812,-2.00,46.3,,,19.2,,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish",No,,,,,,,No,No
Region III,North Slope Drainages,Fish Lake (Chandler),-152.769600000,68.174110,876,-8.00,40.47,,,16.8,,,"Arctic char, lake trout, Arctic grayling, round whitefish",Yes,,,,,,,No,No
Region III,Delta (Upper Tanana River Drainage),Fish Lake (Mt Hayes),-146.007130000,63.233090,965,-3.00,208.6,"23,998,435",11.50,32.0,16.10,,"Dolly Varden, lake trout, Arctic grayling, slimy sculpin",Yes,,,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Flat Lake,-146.322202000,62.500279,819,-3.00,18.66,,,14.3,,,"lake trout, Arctic grayling, humpback whitefish, round whitefish",No,,,,,,,No,No
Region III,Delta (Upper Tanana River Drainage),Fourmile Lake (Taylor Highway),-142.571924000,63.361098,633,-3.00,49.90,"1,047,496",2.10,5.8,3.92,"Arctic char, lake trout, coho salmon, rainbow trout, sheefish",,Yes,10,325,,,,Yes,No,No
Region III,Delta (Upper Tanana River Drainage),Fourteen Mile Lake,-145.805938000,63.071954,1068,-3.00,39,,,15.7,3.18,"lake trout, rainbow trout",slimy sculpin,Yes,146,186,,,,Yes,No,No
Region III,North Slope Drainages,Galbraith Lake,-149.420110000,68.462240,797,-9.00,413.56,"15,738,363",3.805581631,10.3,18.62,,"lake trout, burbot, round whitefish",Yes,168,571,29,3931,Yes,Yes,Yes,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Ghost Lake,-146.301428000,62.521310,811,-3.00,21.12,,,7.0,0.54,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish, round whitefish",No,,,,,,,No,No
Region III,Delta (Upper Tanana River Drainage),Ghost Lake (Meadows Road),-145.830427000,63.835260,584,-1.00,1.96,"116,675",5.95,14.4,0.54,"Arctic char, lake trout, rainbow trout, sheefish",slimy sculpin,Yes,5,368,,,,Yes,No,No
Region III,Delta (Upper Tanana River Drainage),Glacier Gap Lake (Denali Hwy),-146.260050000,63.118340,1137,-3.00,179.3,"13,477,806",7.52,26.0,7.60,,"lake trout, burbot, Arctic grayling, whitefish-unspecified, round whitefish",Yes,1365,373,392,661,Yes,Yes,Yes,Yes
Region III,Kuskokwim-Goodnews Drainages,Goodnews Lake,-160.551600000,59.491990,129,0.00,348.97,,,36.6,12.62,,"Arctic char, lake trout, Alaska blackfish, threespine stickleback, sockeye salmon, rainbow trout, slimy sculpin, round whitefish",Yes,,,,,,Yes,No,Yes
Region III,Yukon River Drainage,Graphite Lake,-143.436890000,67.063230,186,-5.00,,,,,,,"lake trout, Arctic grayling, northern pike, whitefish-unspecified",No,,,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Grayling Lake (Glennallen),-146.871654000,62.306455,817,-4.00,101.17,,,9.1,,,"lake trout, longnose sucker, whitefish-unspecified",No,,,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Grizzly Lake (Tok Cut-off),,,,,,,,,,,,,,,,,,Yes,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Hanagita Lake,-143.798768000,61.234646,764,-2.00,52.61,,,9.8,,,"lake trout, Arctic grayling, sockeye salmon, steelhead, whitefish-unspecified",No,51,463,,,,Yes,Yes,Yes
Region III,Fairbanks (Lower Tanana River Drainage),Harding Lake,-146.880849000,64.434741,221,-2.00,887.18,"153,746,079",17.33,43.0,11.87,"Arctic char, lake trout, Arctic grayling, coho salmon, sockeye salmon, steelhead, rainbow trout, sheefish","burbot, northern pike, slimy sculpin, least cisco",Yes,93,569,67,4182,,,Yes,Yes
Region III,Yukon River Drainage,Helpmejack Lake,-153.541500000,66.931920,201,-6.00,242.81,,,25.3,,,"lake trout, northern pike, slimy sculpin, round whitefish",No,,,,,,Yes,No,No
Region II,Kenai (Upper Kenai Peninsula),Hidden Lake (Kenai),-150.267462000,60.484709,80,2.00,682.7,,20.20,45.1,,,"Arctic char, lake trout, coho salmon, sockeye salmon, rainbow trout",Yes,171,423,169,1007,,Yes,Yes,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),High Lake (Glennallen),-146.301571000,61.855466,922,-3.00,89.03,,,23.8,,,"Dolly Varden, lake trout",Yes,,,,,,Yes,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Horseshoe Lake,-146.185170000,62.522672,830,-3.00,34.8,,,28.4,1.49,,"lake trout, burbot, Arctic grayling, longnose sucker, humpback whitefish",No,,,,,,,No,No
Region III,North Slope Drainages,Imiaknikpak Lake,-154.051480000,68.478570,496,-9.00,,,,4.0,,,"lake trout, longnose sucker, northern pike, slimy sculpin, broad whitefish, least cisco",Yes,,,,,,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Indian Pass Lake,-143.945278000,62.822219,969,-3.00,32.37,,,18.3,,,"Dolly Varden, lake trout, whitefish-unspecified",No,,,,,,Yes,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Indiana Lake,-146.281444000,62.572423,810,-3.00,110.07,,,8.2,,,"lake trout, burbot, Arctic grayling, longnose sucker, humpback whitefish, whitefish-unspecified, round whitefish",Yes,,,,,,,No,No
Region III,Yukon River Drainage,Iniakuk Lake,-153.226350000,67.134840,216,-6.00,1298.79,"393,497,568",30.30,65.2,21.78,,"lake trout, burbot, Arctic grayling, ninespine stickleback, northern pike, Chinook salmon, slimy sculpin, humpback whitefish, round whitefish",Yes,4,467,,,,Yes,No,No
Region III,North Slope Drainages,Inyorurak Pass Lake,-156.420640000,68.202850,606,-9.00,46.13,,,6.7,,,"lake trout, Arctic grayling, slimy sculpin, least cisco",No,,,,,,,No,No
Region III,North Slope Drainages,Irgnyivik Lake,-151.261670000,68.431070,667,-9.00,73.14,,,16.8,4.68,,"lake trout, Arctic grayling, round whitefish",No,,,,,Yes,,No,No
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Island Lake (Glennallen),-146.289713000,62.530167,811,-3.00,32.86,,,6.4,,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish, round whitefish",No,,,,,,,No,No
Region III,North Slope Drainages,Island Lake (Philip Smith Mts),-149.480021000,68.524323,882,-8.00,64.598441,"3,425,363",5.30254686,14.6,4.11,,"lake trout, burbot",Yes,3,618,,,,,No,No
Region III,Delta (Upper Tanana River Drainage),"Island Lake (Richardson Highway, S of Donnelly Dome)",-145.824742000,63.740743,717,-1.00,,,,5.5,,"Arctic grayling, sheefish",,No,,,,,,Yes,No,No
Region III,North Slope Drainages,Itkillik lake,-149.921580000,68.401730,672,-9.00,438.73,"21,619,654",4.93,13.7,11.40,,"lake trout, Arctic grayling, slimy sculpin, round whitefish",Yes,849,427,10,572,Yes,Yes,Yes,Yes
Region III,Delta (Upper Tanana River Drainage),J Lake (Meadows Road),-145.835819000,63.833453,588,-1.00,6.80,,,15.1,1.57,"Arctic char, Arctic grayling, coho salmon, rainbow trout","Arctic grayling, longnose sucker, rainbow trout, slimy sculpin",Yes,,,,,,Yes,No,No
Region III,Delta (Upper Tanana River Drainage),Jack Lake (Nabesna),-143.280019000,62.515365,932,-5.00,158.55,"21,479,142",13.55,28.5,9.36,"Arctic grayling, rainbow trout","lake trout, burbot, Arctic grayling, whitefish-unspecified",Yes,,,,,,Yes,No,Yes
